PedidoEnviado;Barra;Qtd_Pedido;DataPedido;Qtd_Atendida;Qtd_Atendida_Not;NumeroNotaPedido;Observacao
18132745;7896181926757;4;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181926788;3;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181927587;3;09/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
18132745;7896181927594;3;09/05/2022;0;;;FALTA ESTOQUE
18124673;7896181921011;24;06/05/2022;0;;;FALTA ESTOQUE
18124673;7896658038495;3;06/05/2022;3;3;00432839;PRODUTO FATURADO
18131477;7896181925996;1;09/05/2022;1;1;00432969;PRODUTO FATURADO
18131478;7896181909712;60;09/05/2022;60;60;00432953;PRODUTO FATURADO
18121232;7896181902041;20;06/05/2022;0;;;FALTA ESTOQUE
18121232;7896181909279;1;06/05/2022;0;;;FALTA ESTOQUE
18121232;7896181927037;10;06/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
18121232;7896658038310;4;06/05/2022;4;4;00432771;PRODUTO FATURADO
18132745;7896181926696;4;09/05/2022;0;;;FALTA ESTOQUE
18131477;7896181922377;4;09/05/2022;0;;;FALTA ESTOQUE
18131478;7896181906322;60;09/05/2022;60;60;00432953;PRODUTO FATURADO
18131477;7896181911036;12;09/05/2022;0;;;FALTA ESTOQUE
18131477;7896181914280;12;09/05/2022;0;;;FALTA ESTOQUE
18131477;7896181927044;4;09/05/2022;0;;;FALTA ESTOQUE
18131478;7896181925866;12;09/05/2022;0;;;FALTA ESTOQUE
18132743;7896181917410;6;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181914280;20;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181915041;12;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181924173;12;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181909880;6;09/05/2022;0;;;FALTA ESTOQUE
18131477;7896181907572;3;09/05/2022;3;3;00432969;PRODUTO FATURADO
18131478;7896181909651;60;09/05/2022;60;60;00432953;PRODUTO FATURADO
18132743;7896181923367;6;09/05/2022;0;;;FALTA ESTOQUE
18132745;7896181915034;6;09/05/2022;0;;;FALTA ESTOQUE
18147878;7896181909279;24;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181909453;24;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181918189;3;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181921363;12;11/05/2022;12;12;00433513;PRODUTO FATURADO
18142314;7896181922070;2;10/05/2022;2;2;00433416;PRODUTO FATURADO
18140842;7896181917410;6;10/05/2022;0;;;FALTA ESTOQUE
18149020;7896181920328;23;11/05/2022;23;23;00433701;PRODUTO FATURADO
18149022;7896181927297;42;11/05/2022;42;42;00433555;PRODUTO FATURADO
18149926;7896658038310;12;11/05/2022;12;12;00433667;PRODUTO FATURADO
18150186;7896181924265;6;11/05/2022;6;6;00433680;PRODUTO FATURADO
18147878;7896181900122;24;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181909262;24;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181911128;24;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181921288;3;11/05/2022;3;3;00433513;PRODUTO FATURADO
18147878;7896181924081;24;11/05/2022;0;;;FALTA ESTOQUE
18151323;7896181924845;12;11/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
18147878;7896181909651;24;11/05/2022;24;24;00433513;PRODUTO FATURADO
18147878;7896181924166;12;11/05/2022;0;;;FALTA ESTOQUE
18147878;7898907312264;24;11/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
18146769;7896181916963;40;11/05/2022;40;40;00433480;PRODUTO FATURADO
18151323;7896181918363;12;11/05/2022;0;;;FALTA ESTOQUE
18151323;7896181928669;15;11/05/2022;15;15;00433565;PRODUTO FATURADO
18151323;7896181928683;45;11/05/2022;0;;;FALTA ESTOQUE
18149022;7896181920328;20;11/05/2022;20;20;00433555;PRODUTO FATURADO
18147878;7896181909880;12;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181911036;72;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181911517;6;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181922285;12;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181927655;12;11/05/2022;12;12;00433513;PRODUTO FATURADO
18147878;7896181901341;12;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181909712;24;11/05/2022;20;20;00433513;PRODUTO ATENDIDO PARCIALMENTE
18147878;7896181913306;12;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181922377;72;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181922711;6;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896658038921;1;11/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
18147878;7898574611387;6;11/05/2022;5;5;00433513;PRODUTO ATENDIDO PARCIALMENTE
18147878;7898574611448;6;11/05/2022;0;;;FALTA ESTOQUE
18149694;7896181924265;6;11/05/2022;6;6;00433662;PRODUTO FATURADO
18151323;7896181911159;6;11/05/2022;0;;;FALTA ESTOQUE
18149694;7896181924258;6;11/05/2022;6;6;00433662;PRODUTO FATURADO
18149926;7896181924258;6;11/05/2022;6;6;00433667;PRODUTO FATURADO
18151323;7896181909279;12;11/05/2022;0;;;FALTA ESTOQUE
18151323;7896181909453;12;11/05/2022;0;;;FALTA ESTOQUE
18151323;7896181919391;10;11/05/2022;0;;;FALTA ESTOQUE
18151323;7896181918561;2;11/05/2022;2;2;00433565;PRODUTO FATURADO
18151323;7896181919322;6;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181901006;15;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181913771;2;11/05/2022;2;2;00433513;PRODUTO FATURADO
18147878;7896181924098;24;11/05/2022;0;;;FALTA ESTOQUE
18147878;7898907313872;6;11/05/2022;6;6;00433513;PRODUTO FATURADO
18149694;7896658038303;3;11/05/2022;3;3;00433662;PRODUTO FATURADO
18151323;7896181916963;40;11/05/2022;40;40;00433565;PRODUTO FATURADO
18147878;7896181901198;12;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181913252;12;11/05/2022;12;12;00433513;PRODUTO FATURADO
18147878;7896181920540;20;11/05/2022;0;;;FALTA ESTOQUE
18147878;7896181924173;24;11/05/2022;0;;;FALTA ESTOQUE
18165840;7896181906322;12;13/05/2022;2;2;00433992;PRODUTO ATENDIDO PARCIALMENTE
18149694;7896658038310;6;11/05/2022;6;6;00433662;PRODUTO FATURADO
18149926;7896658038303;12;11/05/2022;11;11;00433667;PRODUTO ATENDIDO PARCIALMENTE
18151323;7896181916987;40;11/05/2022;23;23;00433565;PRODUTO ATENDIDO PARCIALMENTE
18151323;7896181924098;12;11/05/2022;0;;;FALTA ESTOQUE
18164347;7898574611462;12;13/05/2022;12;12;00434008;PRODUTO FATURADO
18167192;7896181921363;6;13/05/2022;1;1;00434154;PRODUTO ATENDIDO PARCIALMENTE
18165840;7896181925149;3;13/05/2022;0;;;FALTA ESTOQUE
