PedidoEnviado;Barra;Qtd_Pedido;DataPedido;Qtd_Atendida;Qtd_Atendida_Not;NumeroNotaPedido;Observacao
18093147;7896658027123;4;14/04/2022;0;;;FALTA DE ESTOQUE
18093151;7896658005299;2;14/04/2022;2;2;00000000000006015605;ATENDIDO
18093151;7896658006760;2;14/04/2022;2;2;00000000000006015605;ATENDIDO
18093151;7896658032110;1;14/04/2022;0;;;PRODUTO DESCONTINUADO
18093152;7896181918707;15;14/04/2022;15;15;00000000000006015606;ATENDIDO
18093171;7896658002946;2;14/04/2022;0;;;FALTA DE ESTOQUE
18093171;7896658016837;1;14/04/2022;1;1;00000000000000015586;ATENDIDO
18093172;7896181927655;36;14/04/2022;36;36;00000000000004466837;ATENDIDO
18093174;7896658001918;16;14/04/2022;16;16;00000000000000426568;ATENDIDO
18093174;7896658007996;2;14/04/2022;2;2;00000000000000426568;ATENDIDO
18093174;7896658012327;2;14/04/2022;2;2;00000000000000426568;ATENDIDO
18093175;7896658020315;2;14/04/2022;2;2;00000000000000426981;ATENDIDO
18093175;7896658033094;1;14/04/2022;1;1;00000000000000426981;ATENDIDO
18093181;7896181914303;20;14/04/2022;20;20;00000000000004466557;ATENDIDO
18093186;7896658030260;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093186;7896658036811;1;14/04/2022;1;1;00000000000004429474;ATENDIDO
18093193;7896658001116;4;14/04/2022;0;;;FALTA DE ESTOQUE
18093193;7896658016585;1;14/04/2022;1;1;00000000000016720391;ATENDIDO
18093193;7896658018879;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093194;7896658038716;2;14/04/2022;2;2;00000000000016720383;ATENDIDO
18093207;7896658012303;20;14/04/2022;20;20;00000000000000426476;ATENDIDO
18093207;7896658021121;5;14/04/2022;0;;;FALTA DE ESTOQUE
18093243;7896181914303;6;14/04/2022;0;;;FALTA DE ESTOQUE
18093245;7896181915034;36;14/04/2022;36;36;00000000000006017697;ATENDIDO
18093326;7896181906322;20;14/04/2022;20;20;00000000000000015700;ATENDIDO
18093326;7896181919391;12;14/04/2022;12;12;00000000000000015700;ATENDIDO
18093335;7896181915171;3;14/04/2022;0;;;FALTA DE ESTOQUE
18093335;7896658008764;2;14/04/2022;2;2;00000000000016719550;ATENDIDO
18093345;7896658006043;4;14/04/2022;4;4;00000000000018178578;ATENDIDO
18093351;7896181916246;2;14/04/2022;0;;;FALTA DE ESTOQUE
18093351;7896658001789;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093365;7896181904298;1;14/04/2022;1;1;00000000000018781760;ATENDIDO
18093365;7896181906582;3;14/04/2022;3;3;00000000000018781760;ATENDIDO
18093365;7896181926672;1;14/04/2022;1;1;00000000000018781760;ATENDIDO
18093399;7896658003653;4;14/04/2022;0;;;FALTA DE ESTOQUE
18093399;7896658019531;2;14/04/2022;2;2;00000000000006016412;ATENDIDO
18093430;7896658002403;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093430;7896658008023;3;14/04/2022;3;3;00000000000016719902;ATENDIDO
18093430;7896658018879;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093462;7896658001666;5;14/04/2022;5;5;00000000000016072003;ATENDIDO
18093462;7896658017247;1;14/04/2022;1;1;00000000000016072003;ATENDIDO
18093462;7896658027703;2;14/04/2022;2;2;00000000000016072003;ATENDIDO
18093462;7896658030345;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093470;7896658001925;6;14/04/2022;6;6;00000000000006016094;ATENDIDO
18093484;7896658001079;5;14/04/2022;5;5;00000000000016073741;ATENDIDO
18093484;7896658032431;2;14/04/2022;2;2;00000000000016073741;ATENDIDO
18093484;7896658036996;1;14/04/2022;1;1;00000000000016073741;ATENDIDO
18093497;7896181907534;3;14/04/2022;0;;;FALTA DE ESTOQUE
18093497;7896658003141;3;14/04/2022;3;3;00000000000016721376;ATENDIDO
18093497;7896658008023;10;14/04/2022;10;10;00000000000016721376;ATENDIDO
18093497;7896658018879;3;14/04/2022;0;;;FALTA DE ESTOQUE
18093509;7896658020315;3;14/04/2022;3;3;00000000000006016387;ATENDIDO
18093511;7896658031892;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093512;7896181925866;2;14/04/2022;0;;;FALTA DE ESTOQUE
18093516;7896658005442;2;14/04/2022;0;;;FALTA DE ESTOQUE
18093517;7896181911036;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093517;7896181914280;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093547;7896658036354;6;14/04/2022;6;6;00000000000004466500;ATENDIDO
18093548;7896181906612;2;14/04/2022;2;2;00000000000006886536;ATENDIDO
18093548;7896181914280;12;14/04/2022;0;;;FALTA DE ESTOQUE
18093568;7896658002229;3;14/04/2022;0;;;PRODUTO DESCONTINUADO
18093570;7896181926757;6;14/04/2022;6;6;00000000000018791314;ATENDIDO
18093582;7896658005336;6;14/04/2022;6;6;00000000000016719988;ATENDIDO
18093603;7896181915171;2;14/04/2022;2;2;00000000000018782096;ATENDIDO
18093615;7896181909361;6;14/04/2022;0;;;FALTA DE ESTOQUE
18093615;7896181925828;2;14/04/2022;0;;;FALTA DE ESTOQUE
18093634;7896658001918;39;14/04/2022;0;;;FALTA DE ESTOQUE
18093635;7896658035944;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093643;7896658005589;100;14/04/2022;100;100;00000000000006016786;ATENDIDO
18093644;7896658001901;9;14/04/2022;9;9;00000000000016073727;ATENDIDO
18093671;7896658001789;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093671;7896658007309;2;14/04/2022;2;2;00000000000016073394;ATENDIDO
18093671;7896658020995;2;14/04/2022;0;;;FALTA DE ESTOQUE
18093684;7896181915171;3;14/04/2022;0;;;FALTA DE ESTOQUE
18093684;7896658008788;1;14/04/2022;1;1;00000000000016073808;ATENDIDO
18093684;7896658036989;1;14/04/2022;1;1;00000000000016073808;ATENDIDO
18093687;7896658036354;6;14/04/2022;6;6;00000000000000305977;ATENDIDO
18093688;7896181900351;120;14/04/2022;49;49;00000000000000305978;FALTA DE ESTOQUE
18093689;7896181902386;1;14/04/2022;1;1;00000000000016073684;ATENDIDO
18093689;7896658009518;2;14/04/2022;0;;;FALTA DE ESTOQUE
18093689;7896658032431;3;14/04/2022;3;3;00000000000016073684;ATENDIDO
18093699;7896658008863;4;14/04/2022;4;4;00000000000006887495;ATENDIDO
18093699;7896658015380;2;14/04/2022;2;2;00000000000006887495;ATENDIDO
18093705;7896181901631;1;14/04/2022;1;1;00000000000016074118;ATENDIDO
18093705;7896658030345;3;14/04/2022;0;;;FALTA DE ESTOQUE
18093705;7896658036996;1;14/04/2022;1;1;00000000000016074118;ATENDIDO
18093711;7896658008764;1;14/04/2022;1;1;00000000000016072098;ATENDIDO
18093716;7896658001079;1;14/04/2022;1;1;00000000000016075736;ATENDIDO
18093716;7896658024146;1;14/04/2022;1;1;00000000000016075736;ATENDIDO
18093728;7896658012303;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093728;7896658026850;2;14/04/2022;2;2;00000000000016073810;ATENDIDO
18093730;7896181915171;3;14/04/2022;0;;;FALTA DE ESTOQUE
18093730;7896658001116;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093730;7896658001666;1;14/04/2022;1;1;00000000000016075403;ATENDIDO
18093732;7896658005176;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093743;7896658006760;1;14/04/2022;1;1;00000000000016075281;ATENDIDO
18093744;7896658003554;3;14/04/2022;0;;;FALTA DE ESTOQUE
18093744;7896658008788;4;14/04/2022;4;4;00000000000006017181;ATENDIDO
18093744;7896658021268;2;14/04/2022;0;;;FALTA DE ESTOQUE
18093744;7896658027611;2;14/04/2022;0;;;FALTA DE ESTOQUE
18093746;7896658001901;5;14/04/2022;5;5;00000000000016072106;ATENDIDO
18093750;7896658002076;1;14/04/2022;1;1;00000000000016070870;ATENDIDO
18093752;7896181918424;30;14/04/2022;2;;;FALTA DE ESTOQUE
18093753;7896658026850;1;14/04/2022;1;1;00000000000016075719;ATENDIDO
18093754;7896658023361;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093755;7896181907534;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093755;7896181929178;2;14/04/2022;0;;;PROBLEMAS DE ALVARÁ
18093756;7896658001864;1;14/04/2022;1;1;00000000000001469843;ATENDIDO
18093770;7896658001918;2;14/04/2022;0;;;FALTA DE ESTOQUE
18093775;7896658029561;1;14/04/2022;1;1;00000000000016073115;ATENDIDO
18093829;7896181920410;2;14/04/2022;0;;;FALTA DE ESTOQUE
18093830;7896658001918;6;14/04/2022;0;;;FALTA DE ESTOQUE
18093843;7896181920410;5;14/04/2022;5;5;00000000000000305566;ATENDIDO
18093860;7896181920410;9;14/04/2022;9;9;00000000000000305764;ATENDIDO
18093869;7896658006760;1;14/04/2022;1;1;00000000000016073626;ATENDIDO
18093870;7896181920410;3;14/04/2022;3;3;00000000000000305634;ATENDIDO
18093970;7896658023361;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093972;7896658021640;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093976;7896658004858;1;14/04/2022;1;1;00000000000006017201;ATENDIDO
18093976;7896658033568;2;14/04/2022;2;2;00000000000006017201;ATENDIDO
18093976;7896658034404;1;14/04/2022;1;1;00000000000006017201;ATENDIDO
18093976;7896658035623;1;14/04/2022;0;;;FALTA DE ESTOQUE
18093991;7896658001901;8;14/04/2022;8;8;00000000000016073456;ATENDIDO
18093991;7896658001918;10;14/04/2022;0;;;FALTA DE ESTOQUE
18093998;7896658035944;1;14/04/2022;0;;;FALTA DE ESTOQUE
